PrimaryBreed,count,Adoption,Euthanasia,Transfer,Foster
PIT BULL,14013,5533,5405,2894,181
LABRADOR RETRIEVER,11523,6388,1895,3145,95
CHIHUAHUA,8272,5102,521,2530,119
GERMAN SHEPHERD,5681,2965,1160,1516,40
BEAGLE,3351,1609,709,981,52
BOXER,2475,1269,519,662,25
AUSTRALIAN CATTLE DOG,2181,1500,122,547,12
BORDER COLLIE,1856,1048,274,520,14
DACHSHUND,1790,1115,126,542,7
JACK RUSSELL TERRIER,1430,838,154,415,23
SHIH TZU,1399,532,187,662,18
ROTTWEILER,1370,534,598,222,16
SIBERIAN HUSKY,1107,687,182,235,3
YORKSHIRE TERRIER,1098,576,125,380,17
AUSTRALIAN SHEPHERD,1094,637,147,301,9
AMERICAN STAFFORDSHIRE TERRIER,1036,650,166,202,18
CHOW CHOW,973,194,591,184,4
RAT TERRIER,882,554,67,253,8
GREAT PYRENEES,760,424,31,301,4
CAIRN TERRIER,748,517,32,198,1
